id,nombre,descripcion,ultima_actualizacion,api_url
gt2j-8ykr,Casos positivos de COVID-19 en Colombia.,"Información importante:
En este momento respecto a la transmisión de SARS- CoV2, el país está en zona de seguridad de acuerdo con los umbrales que se construyeron para este análisis, pero todavía lleva muy poco tiempo allí para poder asegurar si está en una fase endémica o no.

Debemos continuar observando por un período que supere mínimo 20 semanas. De mantenerse ahí, durante este rango de tiempo, y aunque aún continuaría existiendo incertidumbre ante la posibilidad de surgimiento de nuevos linajes con mayor porcentaje de escape inmunológico, aumenta la probabilidad de ya estar en una fase endémica estable.

Mientras se da esta observación y con el fin de ir desescalando los procesos extraordinarios, se hará la actualización de datos de manera semanal.


Se insta a EAPB, IPS y a la población en general a continuar realizando pruebas diagnósticas a toda persona sintomática respiratoria y a sus contactos de acuerdo con las directrices del Ministerio de Salud y Protección Social. El diagnóstico de casos es fundamental para detectar tempranamente cambios en la positividad.

ATENCIÓN:
Consulte el nuevo catálogo de variables que funcionará a partir del día 29 de octubre: http://url.ins.gov.co/dataset-covid-info

Datasets históricos: https://www.ins.gov.co/Paginas/Boletines-casos-COVID-19-Colombia.aspx

Cualquier actualización que se identifique, quedará registrada al día siguiente en la publicación. Consulte la fe de erratas y notas aclaratorias en: http://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx",2025-12-19T23:21:44.000Z,https://www.datos.gov.co/resource/gt2j-8ykr.json
p6dx-8zbt,SECOP II - Procesos de Contratación,"Registro de los procesos de compra, sean o no adjudicados, hechos en la plataforma SECOP II desde su lanzamiento",2026-04-07T18:48:00.000Z,https://www.datos.gov.co/resource/p6dx-8zbt.json
jbjy-vk9h,SECOP II - Contratos Electrónicos,Información de los contratos registrados en SECOP II desde su lanzamiento,2026-04-06T18:35:42.000Z,https://www.datos.gov.co/resource/jbjy-vk9h.json
mcec-87by,Tasa de Cambio Representativa del  Mercado -Historico,"La Tasa de Cambio Representativa del Mercado–TRM corresponde al promedio ponderado de las operaciones de compra y venta de contado de dólares de los Estados Unidos de América a cambio de moneda legal colombiana.
Se adjunta archivo con explicación detallada.",2026-04-06T23:05:23.000Z,https://www.datos.gov.co/resource/mcec-87by.json
i7cb-raxc,CÓDIGO ÚNICO DE MEDICAMENTOS VIGENTES,INFORMACIÓN DE LOS CÓDIGOS ÚNICOS DE MEDICAMENTOS PARA LOS REGISTROS SANITARIOS VIGENTES.,2026-03-16T12:11:18.000Z,https://www.datos.gov.co/resource/i7cb-raxc.json
xfif-myr2,Beneficiarios Más Familias en Acción,"Datos anonimizados del programa Más Familias en Acción, determinando características generales de los beneficiarios, valor y tipo de incentivo recibido.",2025-12-19T23:11:14.000Z,https://www.datos.gov.co/resource/xfif-myr2.json
n2jp-53s2,DECLARACION DE RENTA PERSONAS NATURALES,,2023-10-03T14:13:02.871Z,https://www.datos.gov.co/resource/n2jp-53s2.json
vwwf-4ftk,CÓDIGO ÚNICO DE MEDICAMENTOS VENCIDOS,INFORMACIÓN DE LOS CÓDIGOS ÚNICOS DE MEDICAMENTOS PARA LOS REGISTROS SANITARIOS VENCIDOS.,2026-03-16T12:12:38.000Z,https://www.datos.gov.co/resource/vwwf-4ftk.json
rpmr-utcd,SECOP Integrado,"Información integrada de los procesos de compra pública que se han registrado en las plataformas SECOP I y II, que han finalizado con un contrato.",2026-04-05T17:02:15.000Z,https://www.datos.gov.co/resource/rpmr-utcd.json
vgr4-gemg,CÓDIGO ÚNICO DE MEDICAMENTOS EN TRÁMITE DE RENOVACIÓN,INFORMACIÓN DE LOS CÓDIGOS ÚNICOS DE MEDICAMENTOS PARA LOS REGISTROS SANITARIOS EN TRÁMITE DE RENOVACIÓN.,2026-03-16T12:12:47.000Z,https://www.datos.gov.co/resource/vgr4-gemg.json
spzp-dfuc,CÓDIGO ÚNICO DE MEDICAMENTOS OTROS ESTADOS,INFORMACIÓN DE LOS CÓDIGOS ÚNICOS DE MEDICAMENTOS PARA LOS REGISTROS SANITARIOS OTROS ESTADOS.,2026-03-16T12:13:07.000Z,https://www.datos.gov.co/resource/spzp-dfuc.json
